year,team_id,batting_players,batting_age,runs_per_game,g,pa,ab,r,h,d,t,hr,rbi,sb,cs,bb,so,ba,obp,slg,ops,ops_plus,tb,gdp,hbp,sh,sf,ibb,lob
1989,BOS,35,29.4,4.78,162,6455,5666,774,1571,326,30,108,716,56,35,643,755,.277,.351,.403,.754,107,2281,169,36,52,58,57,1308
1989,CAL,37,29.8,4.13,162,6102,5545,669,1422,208,37,145,624,89,40,429,1011,.256,.311,.386,.696,98,2139,114,28,54,46,48,1090
1989,CHC,36,27.6,4.33,162,6141,5513,702,1438,235,45,124,653,136,57,472,921,.261,.319,.387,.707,95,2135,114,26,80,50,75,1093
1989,CHW,42,27.6,4.30,161,6132,5504,693,1493,262,36,94,661,97,52,464,873,.271,.328,.383,.711,103,2109,113,28,85,51,51,1141
1989,CIN,42,28.1,3.90,162,6158,5520,632,1362,243,28,128,588,128,71,493,1028,.247,.309,.370,.680,91,2045,96,30,66,49,67,1115
1989,CLE,47,27.1,3.73,162,6111,5463,604,1340,221,26,127,567,74,51,499,934,.245,.310,.365,.675,90,1994,109,35,72,41,52,1126
1989,DET,46,30.9,3.81,162,6133,5432,617,1315,198,24,116,564,103,50,585,899,.242,.318,.351,.669,91,1909,138,37,35,43,25,1167
1989,HOU,37,29.0,3.99,162,6200,5516,647,1316,239,28,97,598,144,62,530,860,.239,.306,.345,.651,89,1902,80,27,83,44,62,1125
1989,KCR,36,30.3,4.26,162,6151,5475,690,1428,227,41,101,653,154,51,554,897,.261,.329,.373,.702,98,2040,141,29,42,50,50,1147
1989,LAD,40,29.8,3.46,160,6124,5465,554,1313,241,17,89,513,81,54,507,885,.240,.306,.339,.645,86,1855,98,27,83,41,77,1171
1989,MIL,40,28.4,4.36,162,6085,5473,707,1415,235,32,126,660,165,62,455,791,.259,.318,.382,.701,98,2092,108,50,51,54,41,1076
1989,MIN,43,29.4,4.57,162,6207,5581,740,1542,278,35,117,691,111,53,478,743,.276,.334,.402,.736,102,2241,126,39,51,58,40,1170
1989,MON,39,28.9,3.90,162,6207,5482,632,1353,267,30,100,587,160,70,572,958,.247,.319,.361,.681,94,1980,119,35,71,46,83,1166
1989,NYM,42,27.5,4.22,162,6131,5489,683,1351,280,21,147,633,158,53,504,934,.246,.311,.385,.696,103,2114,87,33,56,48,69,1103
1989,NYY,49,28.6,4.34,161,6096,5458,698,1470,229,23,130,657,137,60,502,831,.269,.331,.391,.722,104,2135,130,27,58,49,48,1139
1989,OAK,41,29.3,4.40,162,6110,5416,712,1414,220,25,127,659,157,55,562,855,.261,.331,.381,.712,104,2065,163,34,36,62,37,1110
1989,PHI,48,28.9,3.86,163,6128,5447,629,1324,215,36,123,594,106,50,558,926,.243,.314,.364,.677,95,1980,107,22,57,42,57,1152
1989,PIT,45,27.0,3.88,164,6261,5539,637,1334,263,53,95,584,155,69,563,914,.241,.311,.359,.670,95,1988,115,24,83,51,91,1143
1989,SDP,40,27.8,3.96,162,6120,5422,642,1360,215,32,120,598,136,67,552,1013,.251,.319,.369,.688,96,1999,115,9,95,41,79,1134
1989,SEA,40,26.7,4.28,162,6134,5512,694,1417,237,29,134,653,81,55,489,838,.257,.320,.384,.703,96,2114,109,45,35,52,40,1113
1989,SFG,45,28.5,4.31,162,6139,5469,699,1365,241,52,141,647,87,54,508,1071,.250,.316,.390,.706,104,2133,84,40,82,39,83,1113
1989,STL,33,29.3,3.85,164,6141,5492,632,1418,263,47,73,587,155,54,507,848,.258,.321,.363,.684,93,1994,120,21,78,43,59,1143
1989,TEX,41,27.1,4.29,162,6099,5458,695,1433,260,46,122,654,101,49,503,989,.263,.326,.394,.721,101,2151,151,34,63,40,28,1105
1989,TOR,43,27.9,4.51,162,6216,5581,731,1449,265,40,142,685,144,58,521,923,.260,.323,.398,.721,107,2220,124,31,30,53,32,1102
1990,ATL,46,27.4,4.21,162,6084,5504,682,1376,263,26,162,636,92,55,473,1010,.250,.311,.396,.706,90,2177,101,27,49,31,36,1074
1990,BAL,47,27.3,4.16,161,6223,5410,669,1328,234,22,132,623,94,52,660,962,.245,.330,.370,.700,99,2002,131,40,72,41,50,1230
1990,BOS,43,29.0,4.31,162,6234,5516,699,1502,298,31,106,660,53,52,598,795,.272,.344,.395,.739,104,2180,174,28,48,44,59,1233
1990,CAL,43,29.7,4.26,162,6267,5570,690,1448,237,27,147,646,69,43,566,1000,.260,.329,.391,.720,104,2180,142,28,58,45,41,1202
1990,CHC,39,28.2,4.26,162,6149,5600,690,1474,240,36,136,649,151,50,406,869,.263,.314,.392,.706,87,2194,100,30,61,51,68,1124
1990,CHW,37,27.5,4.21,162,6038,5402,682,1393,251,44,106,637,140,90,478,903,.258,.320,.379,.699,97,2050,112,36,75,47,50,1044
1990,CIN,40,27.5,4.28,162,6163,5525,693,1466,284,40,125,644,166,66,466,913,.265,.325,.399,.724,95,2205,99,42,88,42,73,1137
1990,CLE,44,27.4,4.52,162,6087,5485,732,1465,266,41,110,675,107,52,458,836,.267,.324,.391,.714,100,2143,122,29,54,61,33,1061
1990,DET,43,30.6,4.63,162,6224,5479,750,1418,241,32,172,714,82,57,634,952,.259,.337,.409,.746,107,2239,139,34,36,41,44,1175
1990,HOU,44,28.4,3.54,162,6076,5379,573,1301,209,32,94,536,179,83,548,997,.242,.313,.345,.658,84,1856,107,28,79,41,64,1132
1990,KCR,46,29.7,4.39,161,6099,5488,707,1465,316,44,100,660,107,62,498,879,.267,.328,.395,.723,104,2169,132,27,31,54,32,1123
1990,LAD,46,29.7,4.49,162,6179,5491,728,1436,222,27,129,669,141,65,538,952,.262,.328,.382,.711,98,2099,110,31,71,48,78,1132
1990,MIL,43,29.4,4.52,162,6185,5503,732,1408,247,36,128,680,164,72,519,821,.256,.320,.384,.704,98,2111,101,33,59,71,46,1106
1990,MIN,39,29.4,4.11,162,6086,5499,666,1458,281,39,100,625,96,53,445,749,.265,.324,.385,.708,93,2117,148,53,40,49,32,1097
1990,MON,44,27.7,4.09,162,6189,5453,662,1363,227,43,114,607,235,99,576,1024,.250,.322,.370,.692,94,2018,96,26,87,47,67,1126
1990,NYM,44,27.5,4.78,162,6182,5504,775,1410,278,21,172,734,110,33,536,851,.256,.323,.408,.731,100,2246,89,32,54,56,65,1114
1990,NYY,43,28.2,3.72,162,6037,5483,603,1322,208,19,147,561,119,45,427,1027,.241,.300,.366,.667,86,2009,114,53,37,36,41,1060
1990,OAK,40,29.2,4.52,162,6240,5433,733,1379,209,22,164,693,141,54,651,992,.254,.336,.391,.727,108,2124,122,46,60,48,38,1195
1990,PHI,43,28.6,3.99,162,6245,5535,646,1410,237,27,103,619,108,35,582,915,.255,.327,.363,.690,91,2010,115,30,59,39,92,1242
1990,PIT,46,27.7,4.52,162,6161,5388,733,1395,288,42,138,693,137,52,582,914,.259,.330,.405,.735,105,2181,115,24,96,66,64,1121
1990,SDP,37,28.6,4.15,162,6218,5554,673,1429,243,35,123,628,138,59,509,902,.257,.320,.380,.700,92,2111,117,28,79,48,75,1139
1990,SEA,43,27.9,3.95,162,6207,5474,640,1419,251,26,107,610,105,51,596,749,.259,.333,.373,.707,98,2043,140,40,41,54,41,1227
1990,SFG,51,29.1,4.44,162,6216,5573,719,1459,221,35,152,681,109,56,488,973,.262,.323,.396,.718,101,2206,83,33,76,45,61,1167
1990,STL,43,29.4,3.70,162,6127,5462,599,1398,255,41,73,554,221,74,517,844,.256,.320,.358,.678,87,1954,101,21,77,50,54,1164
1990,TEX,40,27.6,4.17,162,6177,5469,676,1416,257,27,110,641,115,48,575,1054,.259,.331,.376,.707,98,2057,142,34,54,44,45,1168
1990,TOR,41,27.1,4.73,162,6223,5589,767,1479,263,50,167,729,111,52,526,970,.265,.328,.419,.747,103,2343,125,28,18,62,35,1113
1991,ATL,43,28.0,4.62,162,6182,5456,749,1407,255,30,141,704,165,76,563,906,.258,.328,.393,.722,98,2145,104,32,86,45,55,1111
1991,BAL,42,28.2,4.23,162,6257,5604,686,1421,256,29,170,660,50,33,528,974,.254,.319,.401,.720,102,2245,147,33,47,45,33,1162
1991,BOS,39,29.0,4.51,162,6259,5530,731,1486,305,25,126,691,59,39,593,820,.269,.340,.401,.741,101,2219,143,32,50,51,49,1216
1991,CAL,42,30.8,4.03,162,6050,5470,653,1396,245,29,115,607,94,56,448,928,.255,.314,.374,.688,91,2044,114,38,63,31,28,1073
1991,CHC,39,28.9,4.34,160,6130,5522,695,1395,232,26,159,654,123,64,442,879,.253,.309,.390,.700,93,2156,87,36,75,55,41,1074
1991,CHW,38,27.8,4.68,162,6360,5594,758,1464,226,39,139,722,134,74,610,896,.262,.336,.391,.727,103,2185,132,37,76,41,45,1183
1991,CIN,40,28.2,4.25,162,6134,5501,689,1419,250,27,164,654,124,56,488,1006,.258,.320,.403,.723,99,2215,85,32,72,41,54,1110
1991,CLE,53,25.6,3.56,162,6070,5470,576,1390,236,26,79,546,84,58,449,888,.254,.313,.350,.663,83,1915,146,43,62,46,24,1106
1991,DET,41,29.2,5.04,162,6359,5547,817,1372,259,26,209,778,109,47,699,1185,.247,.333,.416,.749,105,2310,90,31,38,44,40,1194
1991,HOU,44,26.1,3.73,162,6147,5504,605,1345,240,43,79,570,125,68,502,1027,.244,.309,.347,.656,91,1908,87,35,63,43,45,1131
1991,KCR,45,28.5,4.49,162,6244,5584,727,1475,290,41,117,689,119,68,523,969,.264,.328,.394,.722,100,2198,126,35,53,47,47,1117
1991,LAD,39,30.2,4.10,162,6159,5408,665,1366,191,29,108,605,126,68,583,957,.253,.326,.359,.685,95,1939,109,28,94,46,50,1151
1991,MIL,39,30.0,4.93,162,6311,5611,799,1523,247,53,116,750,106,68,556,802,.271,.336,.396,.732,104,2224,137,23,52,66,48,1122
1991,MIN,35,29.1,4.79,162,6218,5556,776,1557,270,42,140,733,107,68,526,747,.280,.344,.420,.764,107,2331,157,40,44,49,38,1137
1991,MON,38,27.7,3.60,161,6035,5412,579,1329,236,42,95,536,221,100,484,1056,.246,.308,.357,.666,88,1934,97,28,64,47,51,1074
1991,NYM,40,29.1,3.98,161,6077,5359,640,1305,250,24,117,605,153,70,578,789,.244,.317,.365,.682,93,1954,97,27,60,52,53,1114
1991,NYY,40,27.8,4.16,162,6140,5541,674,1418,249,19,147,630,109,36,473,861,.256,.316,.387,.704,94,2146,125,39,37,50,38,1101
1991,OAK,46,29.9,4.69,162,6192,5410,760,1342,246,19,159,716,151,64,642,981,.248,.331,.389,.719,104,2103,131,50,41,49,55,1105
1991,PHI,43,29.0,3.88,162,6133,5521,629,1332,248,33,111,590,92,30,490,1026,.241,.303,.358,.662,87,1979,114,21,52,49,48,1108
1991,PIT,43,28.1,4.74,162,6269,5449,768,1433,259,50,126,725,124,46,620,901,.263,.338,.398,.737,108,2170,111,35,99,66,62,1188
1991,SDP,48,28.0,3.93,162,6057,5408,636,1321,204,36,121,591,101,64,501,1069,.244,.310,.362,.673,87,1960,122,32,78,38,60,1080
1991,SEA,38,28.1,4.33,162,6237,5494,702,1400,268,29,126,665,97,44,588,811,.255,.328,.383,.711,97,2104,139,37,55,62,57,1150
1991,SFG,41,28.5,4.01,162,6098,5463,649,1345,215,48,141,605,95,57,471,973,.246,.309,.381,.690,97,2079,91,40,90,33,59,1110
1991,STL,36,28.5,4.02,162,6020,5362,651,1366,239,53,68,599,202,110,532,857,.255,.322,.357,.679,91,1915,94,21,58,47,48,1072
1991,TEX,49,27.7,5.12,162,6441,5703,829,1539,288,31,177,774,102,50,596,1039,.270,.341,.424,.765,113,2420,128,42,59,41,51,1187
1991,TOR,45,27.7,4.22,162,6167,5489,684,1412,295,45,133,649,148,53,499,1043,.257,.322,.400,.722,96,2196,108,58,56,65,49,1134
1992,ATL,41,28.4,4.21,162,6143,5480,682,1391,223,48,138,641,126,60,493,924,.254,.316,.388,.703,93,2124,82,26,93,50,58,1131
1992,BAL,38,28.5,4.35,162,6292,5485,705,1423,243,36,148,680,89,48,647,827,.259,.340,.398,.738,106,2182,139,51,50,59,55,1218
1992,BOS,38,28.9,3.70,162,6187,5461,599,1343,259,21,84,567,44,48,591,865,.246,.321,.347,.668,83,1896,118,31,60,43,46,1215
1992,CAL,41,28.1,3.57,162,5917,5364,579,1306,202,20,88,537,160,101,416,882,.243,.301,.338,.638,79,1812,137,40,56,40,40,975
1992,CHC,41,28.3,3.66,162,6156,5590,593,1420,221,41,104,566,77,51,417,816,.254,.307,.364,.671,88,2035,121,31,78,40,49,1148
1992,CHW,35,28.7,4.56,162,6267,5498,738,1434,269,36,110,686,160,57,622,784,.261,.336,.383,.718,102,2105,134,31,47,69,48,1174
1992,CIN,42,27.9,4.07,162,6162,5460,660,1418,281,44,99,606,125,65,563,888,.260,.328,.382,.710,98,2084,123,21,66,52,83,1181
1992,CLE,42,25.9,4.16,162,6201,5620,674,1495,227,24,127,637,144,67,448,885,.266,.323,.383,.706,99,2151,140,45,42,44,46,1105
1992,DET,34,29.8,4.88,162,6310,5515,791,1411,256,16,182,746,66,45,675,1055,.256,.337,.407,.744,108,2245,124,24,43,53,42,1188
1992,HOU,38,26.4,3.75,162,6163,5480,608,1350,255,38,96,582,139,54,506,1025,.246,.313,.359,.673,95,1969,97,48,88,40,65,1162
1992,KCR,42,28.9,3.77,162,6084,5501,610,1411,284,42,75,568,131,71,439,741,.256,.315,.364,.679,89,2004,121,51,45,46,30,1106
1992,LAD,36,28.3,3.38,162,6038,5368,548,1333,201,34,72,499,142,78,503,899,.248,.313,.339,.652,86,1818,111,24,102,40,36,1138
1992,MIL,35,29.7,4.57,162,6183,5504,740,1477,272,35,82,683,256,115,511,779,.268,.330,.375,.705,100,2065,102,33,61,72,45,1101
1992,MIN,39,28.7,4.61,162,6267,5582,747,1544,275,27,104,701,123,74,527,834,.277,.341,.391,.733,104,2185,130,53,46,59,53,1183
1992,MON,47,27.4,4.00,162,6120,5477,648,1381,263,37,102,601,196,63,463,976,.252,.313,.370,.682,93,2024,104,43,82,55,43,1087
1992,NYM,44,29.9,3.70,162,6061,5340,599,1254,259,17,93,564,129,52,572,956,.235,.310,.342,.652,86,1826,117,28,74,45,53,1098
1992,NYY,40,28.3,4.52,162,6262,5593,733,1462,281,18,163,703,78,37,536,903,.261,.328,.406,.733,106,2268,138,42,26,55,51,1157
1992,OAK,44,30.3,4.60,162,6275,5387,745,1389,219,24,142,693,143,59,707,831,.258,.346,.386,.732,111,2082,139,49,72,59,46,1225
1992,PHI,48,27.7,4.23,162,6172,5500,686,1392,255,36,118,638,127,31,509,1059,.253,.320,.377,.697,97,2073,111,52,64,46,45,1172
1992,PIT,43,28.8,4.28,162,6269,5527,693,1409,272,54,106,656,110,53,569,872,.255,.324,.381,.705,100,2107,102,25,89,56,88,1177
1992,SDP,39,28.4,3.81,162,6074,5476,617,1396,255,30,135,576,69,52,453,864,.255,.313,.386,.699,96,2116,126,26,78,41,67,1082
1992,SEA,48,28.3,4.19,162,6180,5564,679,1466,278,24,149,638,100,55,474,841,.263,.323,.402,.725,103,2239,148,38,52,51,47,1120
1992,SFG,40,28.1,3.54,162,6070,5456,574,1330,220,36,105,532,112,64,435,1067,.244,.302,.355,.657,90,1937,111,39,101,39,53,1087
1992,STL,39,28.6,3.90,162,6230,5594,631,1464,262,44,94,599,208,118,495,996,.262,.323,.375,.698,100,2096,96,32,68,41,49,1153
1992,TEX,52,27.4,4.21,162,6238,5537,682,1387,266,23,159,646,81,44,550,1036,.250,.321,.393,.714,103,2176,115,50,56,45,36,1172
1992,TOR,40,29.3,4.81,162,6224,5536,780,1458,265,40,163,737,129,39,561,933,.263,.333,.414,.747,106,2292,123,47,26,54,41,1159
1993,ATL,33,28.8,4.73,162,6234,5515,767,1444,239,29,169,712,125,48,560,946,.262,.331,.408,.739,97,2248,127,36,73,50,46,1165
1993,BAL,41,29.3,4.85,162,6310,5508,786,1470,287,24,157,744,73,54,655,930,.267,.346,.413,.759,101,2276,131,41,49,56,52,1202
1993,BOS,39,29.7,4.23,162,6196,5496,686,1451,319,29,114,644,73,38,508,871,.264,.330,.395,.725,90,2170,146,62,80,49,69,1154
1993,CAL,46,27.3,4.22,162,6089,5391,684,1399,259,24,114,644,169,100,564,930,.260,.331,.380,.711,90,2048,129,38,50,46,39,1089
1993,CHC,38,28.0,4.53,163,6217,5627,738,1521,259,32,161,706,100,43,446,923,.270,.325,.414,.739,99,2327,131,34,67,42,61,1133
1993,CHW,43,28.9,4.79,162,6253,5483,776,1454,228,44,162,731,106,57,604,834,.265,.338,.411,.750,103,2256,126,33,72,61,52,1150
1993,CIN,51,28.4,4.46,162,6164,5517,722,1457,261,28,137,669,142,59,485,1025,.264,.324,.396,.720,92,2185,104,32,63,66,42,1125
1993,CLE,48,27.2,4.88,162,6267,5619,790,1547,264,31,141,747,159,55,488,843,.275,.335,.409,.743,99,2296,131,49,39,72,57,1128
1993,COL,46,27.7,4.68,162,6073,5517,758,1507,278,59,142,704,146,90,388,944,.273,.323,.422,.745,87,2329,125,46,70,52,40,978
1993,DET,40,30.7,5.55,162,6505,5620,899,1546,282,38,178,853,104,63,765,1122,.275,.362,.434,.796,115,2438,101,35,33,52,50,1312
1993,FLA,43,27.7,3.59,162,6127,5475,581,1356,197,31,94,542,117,56,498,1054,.248,.314,.346,.660,74,1897,122,51,58,43,39,1183
1993,HOU,36,27.1,4.42,162,6136,5464,716,1459,288,37,138,656,103,60,497,911,.267,.330,.409,.739,102,2235,125,40,82,47,58,1116
1993,KCR,43,30.0,4.17,162,6101,5522,675,1455,294,35,125,641,100,75,428,936,.263,.320,.397,.717,88,2194,107,52,48,51,50,1090
1993,LAD,35,28.8,4.17,162,6261,5588,675,1458,234,28,130,639,126,61,492,937,.261,.321,.383,.704,93,2138,105,27,107,47,48,1162
1993,MIL,40,28.4,4.52,162,6222,5525,733,1426,240,25,125,688,138,93,555,932,.258,.328,.378,.706,91,2091,117,40,57,45,52,1112
1993,MIN,41,29.5,4.28,162,6209,5601,693,1480,261,27,121,642,83,59,493,850,.264,.327,.385,.713,92,2158,150,51,27,37,35,1145
1993,MON,48,25.7,4.49,163,6233,5493,732,1410,270,36,122,682,228,56,542,860,.257,.326,.386,.712,87,2118,95,48,100,50,65,1166
1993,NYM,41,29.4,4.15,162,6057,5448,672,1350,228,37,158,632,79,50,448,879,.248,.305,.390,.696,87,2126,108,24,89,47,43,1011
1993,NYY,41,29.7,5.07,162,6359,5615,821,1568,294,24,178,793,39,35,629,910,.279,.353,.435,.789,114,2444,149,43,22,50,47,1247
1993,OAK,43,28.2,4.41,162,6295,5543,715,1408,260,21,158,679,131,59,622,1048,.254,.330,.394,.724,100,2184,125,33,46,49,45,1188
1993,PHI,40,29.3,5.41,162,6527,5685,877,1555,297,51,156,811,91,32,665,1049,.274,.351,.426,.777,109,2422,107,42,84,51,70,1281
1993,PIT,47,28.1,4.36,162,6269,5549,707,1482,267,50,110,664,92,55,536,972,.267,.335,.393,.727,96,2179,129,55,76,52,50,1199
1993,SDP,46,26.9,4.19,162,6137,5503,679,1386,239,28,153,633,92,41,443,1046,.252,.312,.389,.701,86,2140,111,59,80,50,43,1090
1993,SEA,48,28.0,4.53,162,6288,5494,734,1429,272,24,161,681,91,68,624,901,.260,.339,.406,.745,99,2232,132,56,63,51,73,1200
1993,SFG,42,28.0,4.99,162,6271,5557,808,1534,269,33,168,759,120,65,516,930,.276,.340,.427,.767,108,2373,121,46,102,50,88,1155
1993,STL,39,28.0,4.68,162,6279,5551,758,1508,262,34,118,724,153,72,588,882,.272,.341,.395,.736,100,2192,128,27,59,54,50,1177
1993,TEX,44,27.8,5.15,162,6166,5510,835,1472,284,39,181,780,113,67,483,984,.267,.329,.431,.760,107,2377,111,48,69,56,56,1034
1993,TOR,38,29.2,5.23,162,6319,5579,847,1556,317,42,159,796,170,49,588,861,.279,.350,.436,.786,110,2434,138,52,46,54,57,1187
1994,ATL,31,28.2,4.75,114,4349,3861,542,1031,198,18,137,510,48,31,377,668,.267,.333,.434,.767,97,1676,104,22,60,29,39,761
1994,BAL,32,30.2,5.26,112,4386,3856,589,1047,185,20,139,557,69,13,438,655,.272,.349,.438,.787,98,1689,89,39,16,35,23,833
1994,BOS,45,29.9,4.80,115,4446,3940,552,1038,222,19,120,523,81,38,404,723,.263,.334,.421,.755,91,1658,87,31,38,33,40,819
1994,CAL,37,27.8,4.72,115,4443,3943,543,1042,178,16,120,518,65,54,402,715,.264,.334,.409,.743,91,1612,84,27,42,29,24,802
1994,CHC,35,28.2,4.42,113,4386,3918,500,1015,189,26,109,464,69,53,364,750,.259,.325,.404,.729,90,1583,84,27,54,23,26,802
1994,CHW,34,29.9,5.60,113,4556,3942,633,1133,175,39,121,602,77,27,497,568,.287,.366,.444,.810,110,1749,91,20,51,46,47,906
1994,CIN,35,28.5,5.30,115,4512,3999,609,1142,211,36,124,569,119,51,388,738,.286,.350,.449,.799,108,1797,83,29,53,42,51,816
1994,CLE,40,28.4,6.01,113,4493,4022,679,1165,240,20,167,647,131,48,382,629,.290,.351,.484,.835,115,1946,80,18,33,38,40,762
1994,COL,36,29.7,4.90,117,4493,4006,573,1098,206,39,125,540,91,53,378,761,.274,.337,.439,.776,88,1757,96,23,50,36,33,805
1994,DET,36,30.7,5.67,115,4574,3955,652,1048,216,25,161,622,46,33,520,897,.265,.352,.454,.806,107,1797,86,34,17,48,28,852
1994,FLA,42,27.6,4.07,115,4387,3926,468,1043,180,24,94,451,65,26,349,746,.266,.330,.396,.725,87,1553,81,40,42,30,25,856
1994,HOU,33,27.8,5.23,115,4500,3955,602,1099,252,25,120,573,124,44,394,718,.278,.347,.445,.792,110,1761,73,43,73,35,58,834
1994,KCR,31,30.0,4.99,115,4391,3911,574,1051,211,38,100,538,140,62,376,698,.269,.335,.419,.754,91,1638,72,33,32,38,23,747
1994,LAD,35,28.6,4.67,114,4371,3904,532,1055,160,29,115,505,74,37,366,687,.270,.333,.414,.748,99,1618,89,19,51,31,33,789
1994,MIL,36,28.0,4.76,115,4494,3978,547,1045,238,21,99,510,59,37,417,680,.263,.335,.408,.742,88,1622,85,33,28,38,30,824
1994,MIN,33,28.9,5.26,113,4409,3952,594,1092,239,23,103,556,94,30,359,635,.276,.340,.427,.767,97,1686,93,41,22,34,26,796
1994,MON,32,26.2,5.13,114,4514,4000,585,1111,246,30,108,542,137,36,379,669,.278,.343,.435,.778,101,1741,77,40,53,42,39,859
1994,NYM,37,27.9,4.48,113,4348,3869,506,966,164,21,117,477,25,26,336,807,.250,.316,.394,.709,85,1523,70,52,59,31,40,761
1994,NYY,36,30.4,5.93,113,4611,3986,670,1155,238,16,139,632,55,40,530,660,.290,.374,.462,.836,119,1842,112,31,27,37,34,918
1994,OAK,43,29.2,4.82,114,4396,3885,549,1009,178,13,113,515,91,39,417,686,.260,.330,.399,.730,95,1552,79,18,24,51,21,808
1994,PHI,40,29.8,4.53,115,4436,3927,521,1028,208,28,80,484,67,24,396,711,.262,.332,.390,.722,86,1532,95,31,51,31,44,841
1994,PIT,39,29.1,4.09,114,4301,3864,466,1001,198,23,80,435,53,25,349,725,.259,.322,.384,.706,83,1485,90,22,36,28,29,819
1994,SDP,40,27.2,4.09,117,4519,4068,479,1117,200,19,92,445,79,37,319,762,.275,.330,.401,.731,92,1631,112,31,67,33,47,867
